City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,enewetak,11.3474,162.3373,28.0,80,47,9.87,MH,1701044143
1,ushuaia,-54.8,-68.3,4.48,85,99,1.34,AR,1701044006
2,sa'dah,16.9402,43.7639,14.45,47,59,1.84,YE,1701044143
3,stanley,54.868,-1.6985,3.62,93,75,0.0,GB,1701044143
4,waitangi,-43.9535,-176.5597,16.57,97,77,7.6,NZ,1701044143
5,adamstown,-25.066,-130.1015,21.5,85,100,11.11,PN,1701044143
6,porto novo,6.4965,2.6036,24.28,90,100,1.49,BJ,1701044143
7,aripuana,-9.1667,-60.6333,24.22,77,36,0.76,BR,1701044143
8,katsuura,35.1333,140.3,12.36,74,0,1.37,JP,1701044144
9,port-aux-francais,-49.35,70.2167,3.51,78,99,7.11,TF,1701044144
10,lebu,-37.6167,-73.65,13.05,90,100,4.31,CL,1701044144
11,minas de marcona,-15.2119,-75.1103,16.11,75,16,4.88,PE,1701043880
12,whitehorse,60.7161,-135.0538,5.05,97,100,6.71,CA,1701043869
13,qaqortoq,60.7167,-46.0333,-6.8,92,100,2.57,GL,1701044144
14,hithadhoo,-0.6,73.0833,27.57,74,51,1.36,MV,1701044144
15,bucerias,20.75,-105.3333,27.99,65,100,2.06,MX,1701044144
16,las juntas,19.4167,-104.7,25.74,67,95,1.47,MX,1701044145
17,yellowknife,62.456,-114.3525,-13.71,85,100,2.57,CA,1701044145
18,edinburgh of the seven seas,-37.0676,-12.3116,13.03,67,11,13.8,SH,1701044145
19,aki,33.5,133.9,10.97,86,83,0.87,JP,1701044145
20,cabo san lucas,22.8909,-109.9124,26.4,66,100,3.09,MX,1701043920
21,grytviken,-54.2811,-36.5092,3.62,91,98,5.1,GS,1701044145
22,sinop,41.7711,34.8709,1.59,73,12,3.53,TR,1701043957
23,hermanus,-34.4187,19.2345,16.85,81,14,0.07,ZA,1701044145
24,buala,-8.145,159.5921,28.29,80,97,2.39,SB,1701044145
25,barcelos,41.5388,-8.6151,12.18,94,72,0.9,PT,1701044146
26,college,64.8569,-147.8028,-3.08,88,75,0.0,US,1701044146
27,mountain home,43.133,-115.6912,0.79,79,0,3.09,US,1701044146
28,kingston,17.997,-76.7936,29.53,81,20,7.72,JM,1701044146
29,ceeldheer,3.8488,47.1806,26.0,84,99,5.55,SO,1701044146
30,lakatoro,-16.0999,167.4164,28.32,66,65,2.82,VU,1701044146
31,albany,42.6001,-73.9662,5.53,78,100,1.34,US,1701044146
32,fort bragg,35.139,-79.006,8.75,93,100,2.06,US,1701044146
33,port elizabeth,-33.918,25.5701,19.16,75,0,1.03,ZA,1701044147
34,talnakh,69.4865,88.3972,-23.68,98,80,2.61,RU,1701044098
35,chibougamau,49.9168,-74.3659,-2.21,93,100,5.14,CA,1701044147
36,wailua homesteads,22.0669,-159.378,26.24,83,75,5.66,US,1701044147
37,aasiaat,68.7098,-52.8699,-5.32,96,100,4.3,GL,1701044147
38,atafu village,-8.5421,-172.5159,30.06,74,96,6.75,TK,1701044147
39,save,8.0425,2.486,24.29,86,100,1.14,BJ,1701044147
40,iqaluit,63.7506,-68.5145,-14.93,95,89,1.53,CA,1701043970
41,yuzhno-kurilsk,44.0306,145.8556,-0.35,78,31,0.96,RU,1701044147
42,blackmans bay,-43.0167,147.3167,12.07,73,94,0.45,AU,1701044147
43,cururupu,-1.8283,-44.8683,24.08,92,46,1.31,BR,1701044148
44,kimbe,-5.5502,150.1429,29.2,76,70,1.09,PG,1701044148
45,margaret river,-33.95,115.0667,20.53,74,99,4.09,AU,1701044148
46,georgetown,5.4112,100.3354,25.96,94,20,1.54,MY,1701044068
47,port mathurin,-19.6833,63.4167,24.82,74,86,7.72,MU,1701044148
48,maydanshakhr,34.3956,68.8662,3.86,28,21,1.09,AF,1701044148
49,carnarvon,-24.8667,113.6333,22.38,65,84,5.13,AU,1701044148
50,melfi,40.9965,15.6514,-0.28,69,5,3.39,IT,1701044148
51,longyearbyen,78.2186,15.6401,1.91,69,75,9.26,SJ,1701044148
52,utrik,11.2278,169.8474,27.7,73,76,9.34,MH,1701044149
53,prince rupert,54.3161,-130.3201,6.83,89,0,4.63,CA,1701044149
54,kuraymah,18.55,31.85,26.31,20,49,5.28,SD,1701044149
55,tiksi,71.6872,128.8694,-24.16,100,96,2.83,RU,1701044112
56,isafjordur,66.0755,-23.124,3.78,89,96,4.22,IS,1701044149
57,peace river,56.2501,-117.286,-1.83,86,75,2.06,CA,1701044149
58,launceston,-41.45,147.1667,15.64,58,100,6.17,AU,1701044149
59,argo,37.6333,22.7333,9.88,59,0,2.04,GR,1701044150
60,dubbo,-32.25,148.6167,28.07,44,10,4.12,AU,1701044150
61,ambon,-3.6954,128.1814,29.08,79,40,1.03,ID,1701044150
62,kolondieba,11.0882,-6.8926,26.03,59,54,0.69,ML,1701044150
63,arvayheer,46.2639,102.775,-11.2,62,82,4.05,MN,1701044150
64,lorengau,-2.0226,147.2712,29.4,71,90,2.65,PG,1701044150
65,chonchi,-42.6128,-73.8092,11.73,84,100,0.4,CL,1701044150
66,krasnyy chikoy,50.3643,108.7512,-18.67,96,88,2.55,RU,1701044151
67,sao felix do xingu,-6.6447,-51.995,25.01,71,82,1.25,BR,1701044151
68,ximeicun,24.9639,118.3794,17.23,70,0,1.09,CN,1701044151
69,ad douiem,14.0012,32.3116,29.1,21,19,3.43,SD,1701044151
70,narsinghgarh,23.7,77.1,13.97,88,100,6.35,IN,1701044151
71,papatowai,-46.5619,169.4708,13.1,75,100,2.35,NZ,1701044151
